Symbol	Description
FTEC	Fidelity MSCI Information Techn
FTF	Franklin Templeton Limited Duration
FTSD	Franklin Short Duration U.S. Go
FTW	Taiwan Alphadex First Trust
FTY	FTSE Nareit Real Estate 50 Ishares
FU	Fab Universal Corp
FUD	CMCI Food TR ETN UBS E-Tracs
FUE	MLCX Biofuels Index TR ETN Elements
FUTY	Fidelity MSCI Utilities Index E
FVD	Value Line Dividend Index First Trust
FVI	Value Line Equity Allc Index First Trust
FVL	Value Line 100 ETF First Trust
FWDB	Madrona Global Bond ETF
FWDD	Madrona Domestic ETF
FWDI	Madrona International ETF
FWV	First West Virginia Bancorp
FXA	Australian Dollar Trust
FXB	British Pound Sterling Trust
FXC	Canadian Dollar Trust
FXCH	Chinese Renminbi Trust
FXD	Consumer Disc Alphadex First Trust
FXE	Euro Trust
FXF	Swiss Franc Trust
FXG	Consumer Staples Alphadex First Trust
FXH	Healthcare Alphadex First Trust
FXI	FTSE China 25 Index Fund Ishares
FXL	Technology Alphadex First Trust
FXN	Energy Alphadex First Trust
FXO	Financial Alphadex First Trust
FXP	Ultrashort FTSE China 25 Proshares
FXR	Indust/Producer Dur Alphadex First Trust
FXS	Swedish Krona Trust
FXSG	Currencyshares Singapore Dollar
FXU	Utilities Alphadex First Trust
FXY	Japanese Yen Trust
FXZ	Materials Alphadex First Trust
FYC	Smallcap Growth Alphadex First Trust
FYT	Smallcap Value Alphadex First Trust
FYX	Smallcap Core Alphadex First Trust
GAF	SPDR S&P Emrg Middle East & Africa
GAL	SPDR SSGA Global Allocation ETF
GASL	Nat Gas Bull 3X Rltd Direxion
GASX	Nat Gas Bear 3X Rltd Direxion
